"year","driver","constructor","races","wins","podiums","points","avg_grid","avg_finish","dnfs","finish_rate","avg_performance_index"
2013,"Vettel","Red Bull",19,13,16,397,2.05263157894737,2.84210526315789,1,0.947368421052632,15.5444444444444
2013,"Webber","Red Bull",19,0,8,199,5.42105263157895,7.73684210526316,4,0.789473684210526,10.08125
2014,"Alonso","Ferrari",19,0,2,161,6.52631578947368,7.47368421052632,2,0.894736842105263,8.51176470588235
2014,"Bianchi","Marussia",15,0,0,2,17.8,17.7333333333333,4,0.733333333333333,1.76666666666667
2014,"Bottas","Williams",19,0,6,186,6.21052631578947,6.57894736842105,1,0.947368421052632,8.92777777777778
2014,"Button","McLaren",19,0,1,126,8.47368421052632,8.42105263157895,2,0.894736842105263,6.90555555555556
2014,"Chilton","Marussia",16,0,0,0,19.5,17.8125,3,0.8125,1.89230769230769
2014,"Ericsson","Caterham",16,0,0,0,20.1875,19.625,5,0.6875,1.57272727272727
2014,"Grosjean","Lotus F1",19,0,0,8,14.9473684210526,16.6842105263158,6,0.684210526315789,2.78461538461538
2014,"Gutiérrez","Sauber",19,0,0,0,15.6842105263158,18.2105263157895,7,0.631578947368421,1.81538461538462
2014,"Hamilton","Mercedes",19,11,16,384,4.21052631578947,5.15789473684211,3,0.842105263157895,16.9
2014,"Hülkenberg","Force India",19,0,0,96,10.9473684210526,9.52631578947368,2,0.894736842105263,6.41764705882353
2014,"Kobayashi","Caterham",16,0,0,0,18.75,19.8125,7,0.5625,1.83333333333333
2014,"Kvyat","Toro Rosso",19,0,0,8,11.1578947368421,15.1052631578947,5,0.736842105263158,2.98571428571429
2014,"Lotterer","Caterham",1,0,0,0,21,25,1,0,NA
2014,"Magnussen","McLaren",19,0,1,55,8.78947368421053,10.2105263157895,1,0.947368421052632,4.55
2014,"Maldonado","Lotus F1",19,0,0,2,17.6842105263158,17.2631578947368,6,0.684210526315789,2.62307692307692
2014,"Massa","Williams",19,0,3,134,7.47368421052632,10.1578947368421,4,0.789473684210526,7.48125
2014,"Pérez","Force India",19,0,1,59,12.0526315789474,12.2631578947368,5,0.736842105263158,5.33333333333333
2014,"Räikkönen","Ferrari",19,0,0,55,9.36842105263158,10,1,0.947368421052632,4.4
2014,"Ricciardo","Red Bull",19,3,8,238,6.26315789473684,7.10526315789474,3,0.842105263157895,11.4866666666667
2014,"Rosberg","Mercedes",19,5,15,317,1.68421052631579,4.89473684210526,2,0.894736842105263,13.5352941176471
2014,"Stevens","Caterham",1,0,0,0,17,17,0,1,1.2
2014,"Sutil","Sauber",19,0,0,0,14.6842105263158,18.4736842105263,8,0.578947368421053,1.625
2014,"Vergne","Toro Rosso",19,0,0,22,11.7368421052632,14.3157894736842,5,0.736842105263158,3.63571428571429
2014,"Vettel","Red Bull",19,0,4,167,7.78947368421053,8.21052631578947,3,0.842105263157895,9.36666666666667
2015,"Alonso","McLaren",18,0,0,11,15.6666666666667,17.1666666666667,7,0.611111111111111,3.22727272727273
2015,"Bottas","Williams",19,0,2,136,6.38888888888889,8.68421052631579,4,0.789473684210526,7.36470588235294
2015,"Button","McLaren",19,0,0,16,15.9473684210526,16.1578947368421,6,0.684210526315789,3.15384615384615
2015,"Ericsson","Sauber",19,0,0,9,14,14.1052631578947,3,0.842105263157895,2.7875
2015,"Grosjean","Lotus F1",19,0,1,51,10.2631578947368,13.7894736842105,7,0.631578947368421,5.45384615384615
2015,"Hamilton","Mercedes",19,10,17,381,1.57894736842105,2.94736842105263,1,0.947368421052632,15.0055555555556
2015,"Hülkenberg","Force India",19,0,0,58,9.89473684210526,13.8947368421053,6,0.684210526315789,5.34615384615385
2015,"Kvyat","Red Bull",19,0,1,95,9.68421052631579,10.2631578947368,3,0.842105263157895,6.74375
2015,"Magnussen","McLaren",1,0,0,0,17,25,1,0,NA
2015,"Maldonado","Lotus F1",19,0,0,27,11.8421052631579,17.0526315789474,9,0.526315789473684,4.33
2015,"Massa","Williams",19,0,2,121,7.42105263157895,10,3,0.842105263157895,7.09375
